OBJECTID,Site_ID,Sand,Silt,Clay,SF_Very_Fine,SF_Fine,SF_Medium,SF_Coarse,SF_Very_Coarse,Texture_Abbrev,Texture
35,74-3,86.799999999999997,5.300000000000000,7.800000000000000,5.854800000000000,2.574400000000000,0.120400000000000,0.022800000000000,0.007000000000000,LS,Loamy sand
36,74-12,53.500000000000000,25.399999999999999,21.100000000000001,3.635100000000000,1.188200000000000,0.043500000000000,0.022500000000000,0.011700000000000,SCL,Sandy clay loam
37,81-3,84.799999999999997,5.600000000000000,9.600000000000000,6.308700000000000,1.846500000000000,0.117300000000000,0.027400000000000,0.009800000000000,LS,Loamy sand
38,81-12,85.599999999999994,6.100000000000000,8.199999999999999,6.799100000000000,1.536400000000000,0.116600000000000,0.039700000000000,0.022900000000000,LS,Loamy sand
39,82-12,74.900000000000006,11.400000000000000,13.800000000000001,5.835800000000000,1.147800000000000,0.061700000000000,0.012600000000000,0.003700000000000,SL,Sandy loam
40,83-3,78.400000000000006,9.699999999999999,11.900000000000000,6.004900000000000,1.375500000000000,0.091100000000000,0.025700000000000,0.015500000000000,SL,Sandy loam
41,83-12,67.099999999999994,13.800000000000001,19.100000000000001,4.653200000000000,1.266500000000000,0.045600000000000,0.009200000000000,0.006000000000000,SL,Sandy loam
42,84-12,73.099999999999994,10.300000000000001,16.699999999999999,5.478100000000000,1.355900000000000,0.058500000000000,0.014900000000000,0.000800000000000,SL,Sandy loam
43,85-3,15.100000000000000,37.600000000000001,47.299999999999997,0.937900000000000,0.378200000000000,0.045000000000000,0.012400000000000,0.006500000000000,C,Clay
44,91-12,87.900000000000006,4.200000000000000,7.900000000000000,6.453200000000000,1.985800000000000,0.101600000000000,0.019200000000000,0.005400000000000,LS,Loamy sand
45,92-12,21.300000000000001,27.600000000000001,51.100000000000001,1.710900000000000,0.167600000000000,0.069700000000000,0.025700000000000,0.012000000000000,C,Clay
46,92-3,17.600000000000001,29.199999999999999,53.200000000000003,1.365900000000000,0.185000000000000,0.550000000000000,0.000000000000000,0.017100000000000,C,Clay
47,93-3,42.899999999999999,19.399999999999999,37.700000000000003,3.321900000000000,0.601400000000000,0.118600000000000,0.029100000000000,0.012700000000000,CL,Clay loam
48,94-12,70.799999999999997,11.000000000000000,18.300000000000001,5.021900000000000,1.480800000000000,0.098100000000000,0.018500000000000,0.009200000000000,SL,Sandy loam
49,101-12,6.800000000000000,28.600000000000001,64.599999999999994,0.157400000000000,0.303900000000000,0.120400000000000,0.031600000000000,0.017900000000000,HC,Heavy clay
50,102-12,4.300000000000000,30.800000000000001,64.900000000000006,0.182800000000000,0.113300000000000,0.053800000000000,0.020900000000000,0.018300000000000,HC,Heavy clay
51,103-12,6.400000000000000,29.000000000000000,64.700000000000003,0.199300000000000,0.222300000000000,0.100900000000000,0.013300000000000,0.007700000000000,HC,Heavy clay
52,104-12,3.700000000000000,26.500000000000000,69.799999999999997,0.144100000000000,0.118500000000000,0.056700000000000,0.016300000000000,0.007200000000000,HC,Heavy clay
53,105-12,4.100000000000000,30.600000000000001,65.299999999999997,0.154800000000000,0.106500000000000,0.056800000000000,0.027200000000000,0.032200000000000,HC,Heavy clay
54,111-12,7.900000000000000,34.600000000000001,57.600000000000001,0.491800000000000,0.127600000000000,0.037500000000000,0.018900000000000,0.014700000000000,C,Clay
55,112-12,3.400000000000000,30.899999999999999,65.700000000000003,0.206100000000000,0.063500000000000,0.024500000000000,0.007600000000000,0.004500000000000,HC,Heavy clay
56,113-3,3.400000000000000,33.000000000000000,63.600000000000001,0.214900000000000,0.063200000000000,0.016200000000000,0.008300000000000,0.010400000000000,HC,Heavy clay
57,114-3,42.399999999999999,19.000000000000000,38.600000000000001,3.027900000000000,0.779800000000000,0.063000000000000,0.026700000000000,0.019400000000000,SiCL,Silty clay loam
58,114-12,34.899999999999999,24.500000000000000,40.600000000000001,2.620400000000000,0.484800000000000,0.047100000000000,0.021200000000000,0.004400000000000,C,Clay
59,115-12,12.100000000000000,24.800000000000001,63.100000000000001,0.838800000000000,0.204300000000000,0.045500000000000,0.022600000000000,0.018900000000000,HC,Heavy clay
60,121-13,5.600000000000000,40.299999999999997,54.100000000000001,0.350900000000000,0.104300000000000,0.029500000000000,0.017500000000000,0.014600000000000,SiC,Silty Clay
61,122-13,5.600000000000000,30.100000000000001,64.299999999999997,0.291300000000000,0.148700000000000,0.022300000000000,0.018200000000000,0.013900000000000,HC,Heavy clay
62,123-12,6.900000000000000,31.399999999999999,61.799999999999997,0.405600000000000,0.168100000000000,0.031100000000000,0.018000000000000,0.016200000000000,HC,Heavy clay
63,124-13,26.600000000000001,35.700000000000003,37.700000000000003,1.952600000000000,0.459200000000000,0.030200000000000,0.023000000000000,0.050700000000000,CL,Clay loam
64,125-3,36.600000000000001,28.199999999999999,35.200000000000003,2.485800000000000,0.854700000000000,0.038400000000000,0.016800000000000,0.011600000000000,CL,Clay loam
65,F1-1,75.200000000000003,13.400000000000000,11.400000000000000,1.407400000000000,3.394900000000000,1.688900000000000,0.012300000000000,0.023100000000000,SL,Sandy loam
66,F2-1,80.200000000000003,8.199999999999999,11.600000000000000,0.313000000000000,1.694400000000000,5.108000000000000,0.516800000000000,0.005300000000000,SL,Sandy loam
67,F3-1,85.299999999999997,7.900000000000000,6.800000000000000,0.265000000000000,2.044000000000000,4.893700000000000,0.466400000000000,0.006000000000000,LS,Loamy sand
68,F3-1,87.500000000000000,6.500000000000000,6.000000000000000,0.185200000000000,2.024600000000000,5.147400000000000,0.611100000000000,0.008300000000000,LS,Loamy sand
69,F5-1,86.400000000000006,7.300000000000000,6.300000000000000,0.205300000000000,1.723400000000000,5.596000000000000,0.817900000000000,0.009600000000000,LS,Loamy sand
70,F5-2,83.599999999999994,7.600000000000000,8.800000000000001,0.119600000000000,1.328200000000000,5.004400000000000,0.942400000000000,0.110800000000000,LS,Loamy sand
71,F5-2,84.200000000000003,7.500000000000000,8.300000000000001,0.096500000000000,1.282900000000000,5.055700000000000,1.143500000000000,0.110900000000000,LS,Loamy sand
